home_team,away_team,home_score,away_score,result,city,country,source_file
Sweden,Estonia,6,2,1,Stockholm,Sweden,1933_fifa_world_cup_qualification.txt
Lithuania,Sweden,0,2,2,Kaunas,Lithuania,1933_fifa_world_cup_qualification.txt
Yugoslavia,Switzerland,2,2,X,Belgrade,Yugoslavia,1933_fifa_world_cup_qualification.txt
Poland,Czechoslovakia,1,2,2,Warsaw,Poland,1933_fifa_world_cup_qualification.txt
Switzerland,Romania,2,2,X,Berne,Switzerland,1933_fifa_world_cup_qualification.txt
Haiti,Cuba,1,3,2,Port-au-Prince,Haiti,1934_fifa_world_cup_qualification.txt
Haiti,Cuba,1,1,X,Port-au-Prince,Haiti,1934_fifa_world_cup_qualification.txt
Haiti,Cuba,0,6,2,Port-au-Prince,Haiti,1934_fifa_world_cup_qualification.txt
Republic of Ireland,Belgium,4,4,X,Dublin,Irish Free State,1934_fifa_world_cup_qualification.txt
Mexico,Cuba,3,2,1,Mexico City,Mexico,1934_fifa_world_cup_qualification.txt
Luxembourg,Germany,1,9,2,Luxembourg,Luxembourg,1934_fifa_world_cup_qualification.txt
Mexico,Cuba,5,0,1,Mexico City,Mexico,1934_fifa_world_cup_qualification.txt
Spain,Portugal,9,0,1,Madrid,Spain,1934_fifa_world_cup_qualification.txt
Egypt,Israel,7,1,1,Cairo,Egypt,1934_fifa_world_cup_qualification.txt
Mexico,Cuba,4,1,1,Mexico City,Mexico,1934_fifa_world_cup_qualification.txt
Portugal,Spain,1,2,2,Lisbon,Portugal,1934_fifa_world_cup_qualification.txt
Bulgaria,Hungary,1,4,2,Sofia,Bulgaria,1934_fifa_world_cup_qualification.txt
Italy,Greece,4,0,1,Milan,Italy,1934_fifa_world_cup_qualification.txt
Israel,Egypt,1,4,2,Tel Aviv,Mandatory Palestine,1934_fifa_world_cup_qualification.txt
Netherlands,Republic of Ireland,5,2,1,Amsterdam,Netherlands,1934_fifa_world_cup_qualification.txt
Luxembourg,France,1,6,2,Luxembourg,Luxembourg,1934_fifa_world_cup_qualification.txt
Austria,Bulgaria,6,1,1,Vienna,Austria,1934_fifa_world_cup_qualification.txt
Hungary,Bulgaria,4,1,1,Budapest,Hungary,1934_fifa_world_cup_qualification.txt
Belgium,Netherlands,2,4,2,Antwerp,Belgium,1934_fifa_world_cup_qualification.txt
Romania,Yugoslavia,2,1,1,Bucharest,Romania,1934_fifa_world_cup_qualification.txt
Mexico,United States,2,4,2,Rome,Italy,1934_fifa_world_cup_qualification.txt
Sweden,Finland,4,0,1,Solna,Sweden,1937_fifa_world_cup_qualification.txt
Sweden,Estonia,7,2,1,Solna,Sweden,1937_fifa_world_cup_qualification.txt
Finland,Germany,0,2,2,Helsinki,Finland,1937_fifa_world_cup_qualification.txt
Latvia,Lithuania,4,2,1,Riga,Latvia,1937_fifa_world_cup_qualification.txt
Finland,Estonia,0,1,2,Turku,Finland,1937_fifa_world_cup_qualification.txt
Germany,Estonia,4,1,1,Königsberg,Germany,1937_fifa_world_cup_qualification.txt
Lithuania,Latvia,1,5,2,Kaunas,Lithuania,1937_fifa_world_cup_qualification.txt
Austria,Latvia,2,1,1,Vienna,Austria,1937_fifa_world_cup_qualification.txt
Norway,Republic of Ireland,3,2,1,Oslo,Norway,1937_fifa_world_cup_qualification.txt
Poland,Yugoslavia,4,0,1,Warsaw,Poland,1937_fifa_world_cup_qualification.txt
Bulgaria,Czechoslovakia,1,1,X,Sofia,Bulgaria,1937_fifa_world_cup_qualification.txt
Republic of Ireland,Norway,3,3,X,Dublin,Irish Free State,1937_fifa_world_cup_qualification.txt
Germany,Sweden,5,0,1,Altona,Germany,1937_fifa_world_cup_qualification.txt
Netherlands,Luxembourg,4,0,1,Rotterdam,Netherlands,1937_fifa_world_cup_qualification.txt
Israel,Greece,1,3,2,Tel Aviv,Mandatory Palestine,1938_fifa_world_cup_qualification.txt
Greece,Israel,1,0,1,Athens,Greece,1938_fifa_world_cup_qualification.txt
Luxembourg,Belgium,2,3,2,Luxembourg,Luxembourg,1938_fifa_world_cup_qualification.txt
Hungary,Greece,11,1,1,Budapest,Hungary,1938_fifa_world_cup_qualification.txt
Belgium,Netherlands,1,1,X,Antwerp,Belgium,1938_fifa_world_cup_qualification.txt
Yugoslavia,Poland,1,0,1,Belgrade,Yugoslavia,1938_fifa_world_cup_qualification.txt
Czechoslovakia,Bulgaria,6,0,1,Prague,Czechoslovakia,1938_fifa_world_cup_qualification.txt
Switzerland,Portugal,2,1,1,Milan,Italy,1938_fifa_world_cup_qualification.txt
Sweden,Republic of Ireland,3,1,1,Solna,Sweden,1949_fifa_world_cup_qualification.txt
Switzerland,Luxembourg,5,2,1,Zürich,Switzerland,1949_fifa_world_cup_qualification.txt
Yugoslavia,Israel,6,0,1,Belgrade,Yugoslavia,1949_fifa_world_cup_qualification.txt
Republic of Ireland,Finland,3,0,1,Dublin,Éire,1949_fifa_world_cup_qualification.txt
Israel,Yugoslavia,2,5,2,Tel Aviv,Israel,1949_fifa_world_cup_qualification.txt
Luxembourg,Switzerland,2,3,2,Luxembourg,Luxembourg,1949_fifa_world_cup_qualification.txt
Mexico,United States,6,2,1,Mexico City,Mexico,1949_fifa_world_cup_qualification.txt
United States,Cuba,5,2,1,Mexico City,Mexico,1949_fifa_world_cup_qualification.txt
Mexico,Cuba,3,0,1,Mexico City,Mexico,1949_fifa_world_cup_qualification.txt
Northern Ireland,Scotland,2,8,2,Belfast,Northern Ireland,1949_fifa_world_cup_qualification.txt
Finland,Republic of Ireland,1,1,X,Helsinki,Finland,1949_fifa_world_cup_qualification.txt
Yugoslavia,France,1,1,X,Belgrade,Yugoslavia,1949_fifa_world_cup_qualification.txt
Wales,England,1,4,2,Cardiff,Wales,1949_fifa_world_cup_qualification.txt
France,Yugoslavia,1,1,X,Colombes,France,1949_fifa_world_cup_qualification.txt
Scotland,Wales,2,0,1,Glasgow,Scotland,1949_fifa_world_cup_qualification.txt
Republic of Ireland,Sweden,1,3,2,Dublin,Éire,1949_fifa_world_cup_qualification.txt
England,Northern Ireland,9,2,1,Manchester,England,1949_fifa_world_cup_qualification.txt
Turkey,Syria,7,0,1,Ankara,Turkey,1949_fifa_world_cup_qualification.txt
France,Yugoslavia,2,3,2,Florence,Italy,1949_fifa_world_cup_qualification.txt
Wales,Northern Ireland,0,0,X,Cardiff,Wales,1950_fifa_world_cup_qualification.txt
Spain,Portugal,5,1,1,Madrid,Spain,1950_fifa_world_cup_qualification.txt
Portugal,Spain,2,2,X,Oeiras,Portugal,1950_fifa_world_cup_qualification.txt
Scotland,England,0,1,2,Glasgow,Scotland,1950_fifa_world_cup_qualification.txt
Yugoslavia,Greece,1,0,1,Belgrade,Yugoslavia,1953_fifa_world_cup_qualification.txt
Finland,Belgium,2,4,2,Helsinki,Finland,1953_fifa_world_cup_qualification.txt
Sweden,Belgium,2,3,2,Solna,Sweden,1953_fifa_world_cup_qualification.txt
Czechoslovakia,Romania,2,0,1,Prague,Czechoslovakia,1953_fifa_world_cup_qualification.txt
Norway,Saarland,2,3,2,Oslo,Norway,1953_fifa_world_cup_qualification.txt
Romania,Bulgaria,3,1,1,Bucharest,Romania,1953_fifa_world_cup_qualification.txt
Mexico,Haiti,8,0,1,Mexico City,Mexico,1953_fifa_world_cup_qualification.txt
Finland,Sweden,3,3,X,Helsinki,Finland,1953_fifa_world_cup_qualification.txt
Sweden,Finland,4,0,1,Solna,Sweden,1953_fifa_world_cup_qualification.txt
Norway,Germany,1,1,X,Oslo,Norway,1953_fifa_world_cup_qualification.txt
Bulgaria,Czechoslovakia,1,2,2,Sofia,Bulgaria,1953_fifa_world_cup_qualification.txt
Luxembourg,France,1,6,2,Luxembourg,Luxembourg,1953_fifa_world_cup_qualification.txt
Belgium,Finland,2,2,X,Brussels,Belgium,1953_fifa_world_cup_qualification.txt
Austria,Portugal,9,1,1,Vienna,Austria,1953_fifa_world_cup_qualification.txt
Republic of Ireland,France,3,5,2,Dublin,Republic of Ireland,1953_fifa_world_cup_qualification.txt
Belgium,Sweden,2,0,1,Brussels,Belgium,1953_fifa_world_cup_qualification.txt
Bulgaria,Romania,1,2,2,Sofia,Bulgaria,1953_fifa_world_cup_qualification.txt
Germany,Saarland,3,0,1,Stuttgart,Germany,1953_fifa_world_cup_qualification.txt
Romania,Czechoslovakia,0,1,2,Bucharest,Romania,1953_fifa_world_cup_qualification.txt
Republic of Ireland,Luxembourg,4,0,1,Dublin,Republic of Ireland,1953_fifa_world_cup_qualification.txt
Greece,Israel,1,0,1,Athens,Greece,1953_fifa_world_cup_qualification.txt
Czechoslovakia,Bulgaria,0,0,X,Bratislava,Czechoslovakia,1953_fifa_world_cup_qualification.txt
Saarland,Norway,0,0,X,Saarbrücken,Saarland,1953_fifa_world_cup_qualification.txt
Yugoslavia,Israel,1,0,1,Skopje,Yugoslavia,1953_fifa_world_cup_qualification.txt
Egypt,Italy,1,2,2,Cairo,Egypt,1953_fifa_world_cup_qualification.txt
Germany,Norway,5,1,1,Hamburg,Germany,1953_fifa_world_cup_qualification.txt
France,Republic of Ireland,1,0,1,Paris,France,1953_fifa_world_cup_qualification.txt
Portugal,Austria,0,0,X,Oeiras,Portugal,1953_fifa_world_cup_qualification.txt
France,Luxembourg,8,0,1,Paris,France,1953_fifa_world_cup_qualification.txt
Haiti,Mexico,0,4,2,Port-au-Prince,Haiti,1953_fifa_world_cup_qualification.txt
Spain,Turkey,4,1,1,Madrid,Spain,1954_fifa_world_cup_qualification.txt
Mexico,United States,4,0,1,Mexico City,Mexico,1954_fifa_world_cup_qualification.txt
Mexico,United States,3,1,1,Mexico City,Mexico,1954_fifa_world_cup_qualification.txt
Italy,Egypt,5,1,1,Milan,Italy,1954_fifa_world_cup_qualification.txt
Paraguay,Chile,4,0,1,Asunción,Paraguay,1954_fifa_world_cup_qualification.txt
Chile,Paraguay,1,3,2,Santiago,Chile,1954_fifa_world_cup_qualification.txt
Chile,Brazil,0,2,2,Santiago,Chile,1954_fifa_world_cup_qualification.txt
Japan,South Korea,1,5,2,Tokyo,Japan,1954_fifa_world_cup_qualification.txt
Luxembourg,Republic of Ireland,0,1,2,Luxembourg,Luxembourg,1954_fifa_world_cup_qualification.txt
Paraguay,Brazil,0,1,2,Asunción,Paraguay,1954_fifa_world_cup_qualification.txt
Israel,Greece,0,2,2,Ramat Gan,Israel,1954_fifa_world_cup_qualification.txt
Brazil,Chile,1,0,1,Rio de Janeiro,Brazil,1954_fifa_world_cup_qualification.txt
Japan,South Korea,2,2,X,Tokyo,Japan,1954_fifa_world_cup_qualification.txt
Turkey,Spain,1,0,1,Istanbul,Turkey,1954_fifa_world_cup_qualification.txt
Turkey,Spain,2,2,X,Rome,Italy,1954_fifa_world_cup_qualification.txt
Israel,Yugoslavia,0,1,2,Ramat Gan,Israel,1954_fifa_world_cup_qualification.txt
Brazil,Paraguay,4,1,1,Rio de Janeiro,Brazil,1954_fifa_world_cup_qualification.txt
Greece,Yugoslavia,0,1,2,Athens,Greece,1954_fifa_world_cup_qualification.txt
Saarland,Germany,1,3,2,Saarbrücken,Saarland,1954_fifa_world_cup_qualification.txt
Haiti,United States,2,3,2,Port-au-Prince,Haiti,1954_fifa_world_cup_qualification.txt
Haiti,United States,0,3,2,Port-au-Prince,Haiti,1954_fifa_world_cup_qualification.txt
Austria,Luxembourg,7,0,1,Vienna,Austria,1956_fifa_world_cup_qualification.txt
Republic of Ireland,Denmark,2,1,1,Dublin,Republic of Ireland,1956_fifa_world_cup_qualification.txt
France,Belgium,6,3,1,Colombes,France,1956_fifa_world_cup_qualification.txt
England,Denmark,5,2,1,Wolverhampton,England,1956_fifa_world_cup_qualification.txt
Portugal,Northern Ireland,1,1,X,Lisbon,Portugal,1957_fifa_world_cup_qualification.txt
Guatemala,Costa Rica,2,6,2,Guatemala City,Guatemala,1957_fifa_world_cup_qualification.txt
Costa Rica,Guatemala,3,1,1,San José,Costa Rica,1957_fifa_world_cup_qualification.txt
Costa Rica,Curaçao,4,0,1,San José,Costa Rica,1957_fifa_world_cup_qualification.txt
Sudan,Syria,1,0,1,Khartoum,Sudan,1957_fifa_world_cup_qualification.txt
Spain,Switzerland,2,2,X,Madrid,Spain,1957_fifa_world_cup_qualification.txt
Guatemala,Curaçao,1,3,2,Guatemala City,Guatemala,1957_fifa_world_cup_qualification.txt
Netherlands,Luxembourg,4,1,1,Rotterdam,Netherlands,1957_fifa_world_cup_qualification.txt
Mexico,United States,6,0,1,Mexico City,Mexico,1957_fifa_world_cup_qualification.txt
Peru,Brazil,1,1,X,Lima,Peru,1957_fifa_world_cup_qualification.txt
Brazil,Peru,1,0,1,Rio de Janeiro,Brazil,1957_fifa_world_cup_qualification.txt
Italy,Northern Ireland,1,0,1,Rome,Italy,1957_fifa_world_cup_qualification.txt
United States,Mexico,2,7,2,Long Beach,United States,1957_fifa_world_cup_qualification.txt
Northern Ireland,Portugal,3,0,1,Belfast,Northern Ireland,1957_fifa_world_cup_qualification.txt
Wales,Czechoslovakia,1,0,1,Cardiff,Wales,1957_fifa_world_cup_qualification.txt
Greece,Yugoslavia,0,0,X,Athens,Greece,1957_fifa_world_cup_qualification.txt
England,Republic of Ireland,5,1,1,London,England,1957_fifa_world_cup_qualification.txt
Scotland,Spain,4,2,1,Glasgow,Scotland,1957_fifa_world_cup_qualification.txt
Indonesia,China PR,2,0,1,Jakarta,Indonesia,1957_fifa_world_cup_qualification.txt
Denmark,England,1,4,2,Copenhagen,Denmark,1957_fifa_world_cup_qualification.txt
German DR,Wales,2,1,1,Leipzig,German DR,1957_fifa_world_cup_qualification.txt
Republic of Ireland,England,1,1,X,Dublin,Republic of Ireland,1957_fifa_world_cup_qualification.txt
Switzerland,Scotland,1,2,2,Basel,Switzerland,1957_fifa_world_cup_qualification.txt
Norway,Bulgaria,1,2,2,Oslo,Norway,1957_fifa_world_cup_qualification.txt
Syria,Sudan,1,1,X,Damascus,Syria,1957_fifa_world_cup_qualification.txt
Austria,Netherlands,3,2,1,Vienna,Austria,1957_fifa_world_cup_qualification.txt
Czechoslovakia,Wales,2,0,1,Prague,Czechoslovakia,1957_fifa_world_cup_qualification.txt
Portugal,Italy,3,0,1,Oeiras,Portugal,1957_fifa_world_cup_qualification.txt
Spain,Scotland,4,1,1,Madrid,Spain,1957_fifa_world_cup_qualification.txt
China PR,Indonesia,4,3,1,Beijing,China PR,1957_fifa_world_cup_qualification.txt
France,Iceland,8,0,1,Nantes,France,1957_fifa_world_cup_qualification.txt
Belgium,Iceland,8,3,1,Brussels,Belgium,1957_fifa_world_cup_qualification.txt
Norway,Hungary,2,1,1,Oslo,Norway,1957_fifa_world_cup_qualification.txt
Colombia,Uruguay,1,1,X,Bogotá,Colombia,1957_fifa_world_cup_qualification.txt
Czechoslovakia,German DR,3,1,1,Brno,Czechoslovakia,1957_fifa_world_cup_qualification.txt
Greece,Romania,1,2,2,Athens,Greece,1957_fifa_world_cup_qualification.txt
Colombia,Paraguay,2,3,2,Bogotá,Colombia,1957_fifa_world_cup_qualification.txt
Canada,United States,5,1,1,Toronto,Canada,1957_fifa_world_cup_qualification.txt
China PR,Indonesia,0,0,X,Yangon,Burma,1957_fifa_world_cup_qualification.txt
Hungary,Bulgaria,4,1,1,Budapest,Hungary,1957_fifa_world_cup_qualification.txt
Russia,Poland,3,0,1,Moscow,Soviet Union,1957_fifa_world_cup_qualification.txt
Mexico,Canada,3,0,1,Mexico City,Mexico,1957_fifa_world_cup_qualification.txt
Uruguay,Colombia,1,0,1,Montevideo,Uruguay,1957_fifa_world_cup_qualification.txt
Mexico,Canada,2,0,1,Mexico City,Mexico,1957_fifa_world_cup_qualification.txt
Finland,Poland,1,3,2,Helsinki,Finland,1957_fifa_world_cup_qualification.txt
United States,Canada,2,3,2,St. Louis,United States,1957_fifa_world_cup_qualification.txt
Paraguay,Colombia,3,0,1,Asunción,Paraguay,1957_fifa_world_cup_qualification.txt
Paraguay,Uruguay,5,0,1,Asunción,Paraguay,1957_fifa_world_cup_qualification.txt
Russia,Finland,2,1,1,Moscow,Soviet Union,1957_fifa_world_cup_qualification.txt
Uruguay,Paraguay,2,0,1,Montevideo,Uruguay,1957_fifa_world_cup_qualification.txt
Curaçao,Costa Rica,1,2,2,Willemstad,Curaçao,1957_fifa_world_cup_qualification.txt
Finland,Russia,0,10,2,Helsinki,Finland,1957_fifa_world_cup_qualification.txt
Iceland,France,1,5,2,Reykjavík,Iceland,1957_fifa_world_cup_qualification.txt
Iceland,Belgium,2,5,2,Reykjavík,Iceland,1957_fifa_world_cup_qualification.txt
Netherlands,Luxembourg,5,2,1,Rotterdam,Netherlands,1957_fifa_world_cup_qualification.txt
Bulgaria,Hungary,1,2,2,Sofia,Bulgaria,1957_fifa_world_cup_qualification.txt
Chile,Bolivia,2,1,1,Santiago,Chile,1957_fifa_world_cup_qualification.txt
Netherlands,Austria,1,1,X,Amsterdam,Netherlands,1957_fifa_world_cup_qualification.txt
Wales,German DR,4,1,1,Cardiff,Wales,1957_fifa_world_cup_qualification.txt
Bolivia,Chile,3,0,1,La Paz,Bolivia,1957_fifa_world_cup_qualification.txt
Luxembourg,Austria,0,3,2,Luxembourg,Luxembourg,1957_fifa_world_cup_qualification.txt
Romania,Yugoslavia,1,1,X,Bucharest,Romania,1957_fifa_world_cup_qualification.txt
Denmark,Republic of Ireland,0,2,2,Copenhagen,Denmark,1957_fifa_world_cup_qualification.txt
Bolivia,Argentina,2,0,1,La Paz,Bolivia,1957_fifa_world_cup_qualification.txt
Chile,Argentina,0,2,2,Santiago,Chile,1957_fifa_world_cup_qualification.txt
Argentina,Chile,4,0,1,Buenos Aires,Argentina,1957_fifa_world_cup_qualification.txt
Mexico,Costa Rica,2,0,1,Mexico City,Mexico,1957_fifa_world_cup_qualification.txt
Poland,Russia,2,1,1,Chorzów,Poland,1957_fifa_world_cup_qualification.txt
Argentina,Bolivia,4,0,1,Avellaneda,Argentina,1957_fifa_world_cup_qualification.txt
Belgium,France,0,0,X,Brussels,Belgium,1957_fifa_world_cup_qualification.txt
Costa Rica,Mexico,1,1,X,San José,Costa Rica,1957_fifa_world_cup_qualification.txt
German DR,Czechoslovakia,1,4,2,Leipzig,German DR,1957_fifa_world_cup_qualification.txt
Bulgaria,Norway,7,0,1,Sofia,Bulgaria,1957_fifa_world_cup_qualification.txt
Poland,Finland,4,0,1,Warsaw,Poland,1957_fifa_world_cup_qualification.txt
Romania,Greece,3,0,1,Bucharest,Romania,1957_fifa_world_cup_qualification.txt
Scotland,Switzerland,3,2,1,Glasgow,Scotland,1957_fifa_world_cup_qualification.txt
Hungary,Norway,5,0,1,Budapest,Hungary,1957_fifa_world_cup_qualification.txt
Yugoslavia,Greece,4,1,1,Belgrade,Yugoslavia,1957_fifa_world_cup_qualification.txt
Yugoslavia,Romania,2,0,1,Belgrade,Yugoslavia,1957_fifa_world_cup_qualification.txt
Poland,Russia,0,2,2,Leipzig,German DR,1957_fifa_world_cup_qualification.txt
Switzerland,Spain,1,4,2,Lausanne,Switzerland,1957_fifa_world_cup_qualification.txt
Italy,Portugal,3,0,1,Milan,Italy,1957_fifa_world_cup_qualification.txt
Israel,Wales,0,2,2,Ramat Gan,Israel,1958_fifa_world_cup_qualification.txt
Northern Ireland,Italy,2,1,1,Belfast,Northern Ireland,1958_fifa_world_cup_qualification.txt
Wales,Israel,2,0,1,Cardiff,Wales,1958_fifa_world_cup_qualification.txt
Costa Rica,Guatemala,3,2,1,San José,Costa Rica,1960_fifa_world_cup_qualification.txt
Ghana,Nigeria,4,1,1,Accra,Ghana,1960_fifa_world_cup_qualification.txt
Guatemala,Costa Rica,4,4,X,Guatemala City,Guatemala,1960_fifa_world_cup_qualification.txt
Honduras,Costa Rica,2,1,1,Tegucigalpa,Honduras,1960_fifa_world_cup_qualification.txt
Nigeria,Ghana,2,2,X,Lagos,Nigeria,1960_fifa_world_cup_qualification.txt
Costa Rica,Honduras,5,0,1,San José,Costa Rica,1960_fifa_world_cup_qualification.txt
Finland,France,1,2,2,Helsinki,Finland,1960_fifa_world_cup_qualification.txt
Honduras,Guatemala,1,1,X,Tegucigalpa,Honduras,1960_fifa_world_cup_qualification.txt
Suriname,Curaçao,1,2,2,Paramaribo,Dutch Guyana,1960_fifa_world_cup_qualification.txt
Luxembourg,England,0,9,2,Luxembourg,Luxembourg,1960_fifa_world_cup_qualification.txt
Sweden,Belgium,2,0,1,Solna,Sweden,1960_fifa_world_cup_qualification.txt
Northern Ireland,Germany,3,4,2,Belfast,Northern Ireland,1960_fifa_world_cup_qualification.txt
Morocco,Tunisia,2,1,1,Casablanca,Morocco,1960_fifa_world_cup_qualification.txt
United States,Mexico,3,3,X,Los Angeles,United States,1960_fifa_world_cup_qualification.txt
South Korea,Japan,2,1,1,Seoul,South Korea,1960_fifa_world_cup_qualification.txt
Mexico,United States,3,0,1,Mexico City,Mexico,1960_fifa_world_cup_qualification.txt
Cyprus,Israel,1,1,X,Nicosia,Cyprus,1960_fifa_world_cup_qualification.txt
Tunisia,Morocco,2,1,1,Tunis,Tunisia,1960_fifa_world_cup_qualification.txt
Belgium,Switzerland,2,4,2,Brussels,Belgium,1960_fifa_world_cup_qualification.txt
Greece,Germany,0,3,2,Athens,Greece,1960_fifa_world_cup_qualification.txt
Curaçao,Suriname,0,0,X,Willemstad,Curaçao,1960_fifa_world_cup_qualification.txt
Israel,Cyprus,6,1,1,Ramat Gan,Israel,1960_fifa_world_cup_qualification.txt
Ecuador,Argentina,3,6,2,Guayaquil,Ecuador,1960_fifa_world_cup_qualification.txt
France,Bulgaria,3,0,1,Colombes,France,1960_fifa_world_cup_qualification.txt
Argentina,Ecuador,5,0,1,Buenos Aires,Argentina,1960_fifa_world_cup_qualification.txt
Costa Rica,Honduras,1,0,1,Guatemala City,Guatemala,1961_fifa_world_cup_qualification.txt
Morocco,Tunisia,1,1,X,Palermo,Italy,1961_fifa_world_cup_qualification.txt
Israel,Ethiopia,1,0,1,Ramat Gan,Israel,1961_fifa_world_cup_qualification.txt
Israel,Ethiopia,3,2,1,Ramat Gan,Israel,1961_fifa_world_cup_qualification.txt
Portugal,Luxembourg,6,0,1,Oeiras,Portugal,1961_fifa_world_cup_qualification.txt
Costa Rica,Mexico,1,0,1,San José,Costa Rica,1961_fifa_world_cup_qualification.txt
Costa Rica,Curaçao,6,0,1,San José,Costa Rica,1961_fifa_world_cup_qualification.txt
Ghana,Morocco,0,0,X,Accra,Ghana,1961_fifa_world_cup_qualification.txt
Mexico,Curaçao,7,0,1,Mexico City,Mexico,1961_fifa_world_cup_qualification.txt
Mexico,Costa Rica,4,1,1,Mexico City,Mexico,1961_fifa_world_cup_qualification.txt
Hungary,German DR,2,0,1,Budapest,Hungary,1961_fifa_world_cup_qualification.txt
Wales,Spain,1,2,2,Cardiff,Wales,1961_fifa_world_cup_qualification.txt
Curaçao,Costa Rica,2,0,1,Willemstad,Curaçao,1961_fifa_world_cup_qualification.txt
Colombia,Peru,1,0,1,Bogotá,Colombia,1961_fifa_world_cup_qualification.txt
Netherlands,Hungary,0,3,2,Rotterdam,Netherlands,1961_fifa_world_cup_qualification.txt
Greece,Northern Ireland,2,1,1,Athens,Greece,1961_fifa_world_cup_qualification.txt
Scotland,Republic of Ireland,4,1,1,Glasgow,Scotland,1961_fifa_world_cup_qualification.txt
Republic of Ireland,Scotland,0,3,2,Dublin,Republic of Ireland,1961_fifa_world_cup_qualification.txt
Peru,Colombia,1,1,X,Lima,Peru,1961_fifa_world_cup_qualification.txt
Germany,Northern Ireland,2,1,1,Berlin,Germany,1961_fifa_world_cup_qualification.txt
Czechoslovakia,Scotland,4,0,1,Bratislava,Czechoslovakia,1961_fifa_world_cup_qualification.txt
German DR,Netherlands,1,1,X,Leipzig,German DR,1961_fifa_world_cup_qualification.txt
Spain,Wales,1,1,X,Madrid,Spain,1961_fifa_world_cup_qualification.txt
Switzerland,Belgium,2,1,1,Lausanne,Switzerland,1961_fifa_world_cup_qualification.txt
Curaçao,Mexico,0,0,X,Willemstad,Curaçao,1961_fifa_world_cup_qualification.txt
Portugal,England,1,1,X,Oeiras,Portugal,1961_fifa_world_cup_qualification.txt
Morocco,Ghana,1,0,1,Casablanca,Morocco,1961_fifa_world_cup_qualification.txt
Sweden,Switzerland,4,0,1,Solna,Sweden,1961_fifa_world_cup_qualification.txt
Norway,Turkey,0,1,2,Oslo,Norway,1961_fifa_world_cup_qualification.txt
Yugoslavia,Poland,2,1,1,Belgrade,Yugoslavia,1961_fifa_world_cup_qualification.txt
Japan,South Korea,0,2,2,Tokyo,Japan,1961_fifa_world_cup_qualification.txt
Finland,Bulgaria,0,2,2,Helsinki,Finland,1961_fifa_world_cup_qualification.txt
Russia,Turkey,1,0,1,Moscow,Soviet Union,1961_fifa_world_cup_qualification.txt
Poland,Yugoslavia,1,1,X,Chorzów,Poland,1961_fifa_world_cup_qualification.txt
Russia,Norway,5,2,1,Moscow,Soviet Union,1961_fifa_world_cup_qualification.txt
Bolivia,Uruguay,1,1,X,La Paz,Bolivia,1961_fifa_world_cup_qualification.txt
Uruguay,Bolivia,2,1,1,Montevideo,Uruguay,1961_fifa_world_cup_qualification.txt
Norway,Russia,0,3,2,Oslo,Norway,1961_fifa_world_cup_qualification.txt
German DR,Hungary,2,3,2,Berlin,German DR,1961_fifa_world_cup_qualification.txt
England,Luxembourg,4,1,1,London,England,1961_fifa_world_cup_qualification.txt
France,Finland,5,1,1,Paris,France,1961_fifa_world_cup_qualification.txt
Scotland,Czechoslovakia,3,2,1,Glasgow,Scotland,1961_fifa_world_cup_qualification.txt
Belgium,Sweden,0,2,2,Brussels,Belgium,1961_fifa_world_cup_qualification.txt
Republic of Ireland,Czechoslovakia,1,3,2,Dublin,Republic of Ireland,1961_fifa_world_cup_qualification.txt
Luxembourg,Portugal,4,2,1,Luxembourg,Luxembourg,1961_fifa_world_cup_qualification.txt
Yugoslavia,South Korea,5,1,1,Belgrade,Yugoslavia,1961_fifa_world_cup_qualification.txt
Israel,Italy,2,4,2,Ramat Gan,Israel,1961_fifa_world_cup_qualification.txt
Northern Ireland,Greece,2,0,1,Belfast,Northern Ireland,1961_fifa_world_cup_qualification.txt
Germany,Greece,2,1,1,Augsburg,Germany,1961_fifa_world_cup_qualification.txt
Hungary,Netherlands,3,3,X,Budapest,Hungary,1961_fifa_world_cup_qualification.txt
England,Portugal,2,0,1,London,England,1961_fifa_world_cup_qualification.txt
Bulgaria,Finland,3,1,1,Sofia,Bulgaria,1961_fifa_world_cup_qualification.txt
Czechoslovakia,Republic of Ireland,7,1,1,Prague,Czechoslovakia,1961_fifa_world_cup_qualification.txt
Mexico,Paraguay,1,0,1,Mexico City,Mexico,1961_fifa_world_cup_qualification.txt
Switzerland,Sweden,3,2,1,Berne,Switzerland,1961_fifa_world_cup_qualification.txt
Turkey,Norway,2,1,1,Istanbul,Turkey,1961_fifa_world_cup_qualification.txt
Italy,Israel,6,0,1,Turin,Italy,1961_fifa_world_cup_qualification.txt
Paraguay,Mexico,0,0,X,Asunción,Paraguay,1961_fifa_world_cup_qualification.txt
Bulgaria,France,1,0,1,Sofia,Bulgaria,1961_fifa_world_cup_qualification.txt
Morocco,Spain,0,1,2,Casablanca,Morocco,1961_fifa_world_cup_qualification.txt
Switzerland,Sweden,2,1,1,Berlin,Germany,1961_fifa_world_cup_qualification.txt
Turkey,Russia,1,2,2,Istanbul,Turkey,1961_fifa_world_cup_qualification.txt
Spain,Morocco,3,2,1,Madrid,Spain,1961_fifa_world_cup_qualification.txt
South Korea,Yugoslavia,1,3,2,Seoul,South Korea,1961_fifa_world_cup_qualification.txt
Czechoslovakia,Scotland,4,2,1,Brussels,Belgium,1961_fifa_world_cup_qualification.txt
