time,home_team,away_team,home_score,away_score,result,ht_score,source_file
16.00,USM Khenchela,ES Sétif,1,0,1,0-0,2023-24_dz1.txt
,MC El Bayadh,CS Constantine,1,0,1,1-0,2023-24_dz1.txt
19.00,ASO Chlef,MC Oran,2,0,1,0-0,2023-24_dz1.txt
16.00,NC Magra,JS Kabylie,0,1,2,0-1,2023-24_dz1.txt
,MC Alger,ES Ben Aknoun,4,0,1,2-0,2023-24_dz1.txt
20.00,JS Saoura,US Biskra,1,0,1,1-0,2023-24_dz1.txt
16.00,Paradou AC,USM Alger,1,0,1,0-0,2023-24_dz1.txt
15.30,US Souf,CR Bélouizdad,0,3,2,0-3,2023-24_dz1.txt
16.00,ES Ben Aknoun,ASO Chlef,2,2,X,1-1,2023-24_dz1.txt
,CS Constantine,MC Alger,2,1,1,1-1,2023-24_dz1.txt
19.00,JS Kabylie,Paradou AC,0,0,X,,2023-24_dz1.txt
16.00,CR Bélouizdad,NC Magra,1,0,1,0-0,2023-24_dz1.txt
19.00,US Biskra,US Souf,3,1,1,3-1,2023-24_dz1.txt
,MC Oran,JS Saoura,1,1,X,1-1,2023-24_dz1.txt
,ES Sétif,MC El Bayadh,2,1,1,0-0,2023-24_dz1.txt
15.30,USM Alger,USM Khenchela,3,0,1,0-0,2023-24_dz1.txt
15.45,USM Khenchela,JS Kabylie,2,1,1,0-0,2023-24_dz1.txt
,US Souf,MC Oran,0,0,X,,2023-24_dz1.txt
,NC Magra,US Biskra,2,1,1,0-1,2023-24_dz1.txt
15.45,MC Alger,MC El Bayadh,2,0,1,1-0,2023-24_dz1.txt
19.00,JS Saoura,ES Ben Aknoun,1,0,1,0-0,2023-24_dz1.txt
,ASO Chlef,CS Constantine,1,0,1,1-0,2023-24_dz1.txt
15.00,Paradou AC,CR Bélouizdad,0,1,2,0-1,2023-24_dz1.txt
19.00,ES Sétif,USM Alger,2,1,1,1-1,2023-24_dz1.txt
15.45,MC Alger,ES Sétif,5,3,1,2-2,2023-24_dz1.txt
,CS Constantine,JS Saoura,3,0,1,2-0,2023-24_dz1.txt
19.00,US Biskra,Paradou AC,0,5,2,0-3,2023-24_dz1.txt
,MC Oran,NC Magra,0,0,X,,2023-24_dz1.txt
15.45,CR Bélouizdad,USM Khenchela,2,3,2,2-2,2023-24_dz1.txt
,ES Ben Aknoun,US Souf,0,1,2,0-1,2023-24_dz1.txt
,MC El Bayadh,ASO Chlef,1,0,1,1-0,2023-24_dz1.txt
19.00,JS Kabylie,USM Alger,1,0,1,0-0,2023-24_dz1.txt
15.30,Paradou AC,MC Oran,1,0,1,1-0,2023-24_dz1.txt
,US Souf,CS Constantine,3,4,2,1-1,2023-24_dz1.txt
15.45,ES Sétif,JS Kabylie,1,0,1,0-0,2023-24_dz1.txt
17.00,USM Alger,CR Bélouizdad,2,1,1,0-0,2023-24_dz1.txt
15.00,USM Khenchela,US Biskra,0,1,2,0-0,2023-24_dz1.txt
,NC Magra,ES Ben Aknoun,3,1,1,1-1,2023-24_dz1.txt
17.00,ASO Chlef,MC Alger,0,1,2,0-1,2023-24_dz1.txt
